Source,Target,Type,Id,Label,timeset,Weight,source_airport,dest_airport,codeshare,stops,equipment,airline,airline_name,airline_alias,airline_iata,airline_icao,airline_callsign,airline_country,airline_active,background_map_edge
3382,3024,Directed,109413,,,1,KMG,CMB,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3382,3931,Directed,109414,,,1,KMG,CNX,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3382,3076,Directed,109417,,,1,KMG,DAC,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3382,3196,Directed,109418,,,1,KMG,DAD,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3382,3404,Directed,109420,,,1,KMG,DLC,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3382,6434,Directed,109422,,,1,KMG,DSN,,0,733,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3382,2188,Directed,109423,,,1,KMG,DXB,,0,333,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3382,3179,Directed,109429,,,1,KMG,HKT,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3382,4085,Directed,109431,,,1,KMG,INC,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3382,6944,Directed,109434,,,1,KMG,JNG,,0,733 737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3382,3125,Directed,109436,,,1,KMG,KTM,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3382,8845,Directed,109440,,,1,KMG,LLF,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3382,4097,Directed,109443,,,1,KMG,LXA,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3382,4148,Directed,109444,,,1,KMG,LYA,,0,733,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
